question,answer,category
Python 是什麼？,Python 是一種高階程式語言，以其簡潔易讀的語法著稱，廣泛應用於網頁開發、資料分析、人工智慧等領域。它由 Guido van Rossum 於 1991 年創建，具有豐富的第三方套件生態系統。,程式設計
什麼是機器學習？,機器學習是人工智慧的一個分支，讓電腦系統能夠從資料中學習並改進，而不需要明確的程式設計。主要分為監督式學習、非監督式學習和強化學習三大類。常見應用包括圖像識別、語音辨識、推薦系統等。,人工智慧
如何學習程式設計？,"學習程式設計的建議步驟：
1. 選擇一門程式語言（如 Python 或 JavaScript）
2. 學習基礎語法與資料結構
3. 多做練習專案（從小專案開始）
4. 閱讀他人優質程式碼
5. 參與開源專案
6. 持續實作與學習新技術",學習方法
什麼是 API？,API（Application Programming Interface，應用程式介面）是一組定義和協議，讓不同軟體系統能夠互相溝通。它定義了請求和回應的格式，讓開發者可以使用其他服務的功能而不需要了解內部實作細節。常見的 API 類型包括 REST API、GraphQL、SOAP 等。,程式設計
RAG 是什麼技術？,RAG（Retrieval-Augmented Generation）是一種結合檢索和生成的 AI 技術。它先從知識庫中檢索相關資訊，再將這些資訊提供給語言模型作為上下文來生成回答。這種方法可以讓 AI 回答更準確、更新，並且能夠引用具體來源。,人工智慧
什麼是向量資料庫？,向量資料庫是專門用於儲存和檢索高維向量的資料庫系統。在 AI 應用中，文字、圖片等資料會被轉換成向量（embeddings），向量資料庫能夠快速計算相似度並找出最相關的資料。常見的向量資料庫包括 Pinecone、Milvus、Weaviate、ChromaDB 等。,資料科學
Flask 是什麼？,Flask 是一個輕量級的 Python 網頁框架，適合快速開發 Web 應用程式和 API。它遵循簡單核心、可擴展的設計哲學，提供基本的路由、請求處理等功能，其他功能可透過擴充套件添加。相較於 Django，Flask 更加靈活輕巧。,網頁開發
什麼是 JSON？,JSON（JavaScript Object Notation）是一種輕量級的資料交換格式，易於人類閱讀和撰寫，也易於機器解析和生成。它基於 JavaScript 的物件語法，但是獨立於程式語言。JSON 常用於 Web API 的資料傳輸、配置檔案等場景。,程式設計
如何提升程式碼品質？,"提升程式碼品質的方法：
1. 遵循程式碼規範（如 PEP 8）
2. 撰寫單元測試
3. 進行程式碼審查（Code Review）
4. 使用靜態分析工具（如 pylint、ESLint）
5. 重構複雜的程式碼
6. 撰寫清晰的註解和文件
7. 使用版本控制系統（Git）",最佳實踐
什麼是前端和後端？,前端（Frontend）是指使用者直接接觸的部分，包括網頁介面、使用者互動等，主要技術包括 HTML、CSS、JavaScript。後端（Backend）是指伺服器端的邏輯處理、資料庫操作等，使用者看不到，主要技術包括 Python、Java、Node.js 等。兩者透過 API 進行溝通。,網頁開發
Git 是什麼？,Git 是一個分散式版本控制系統，用於追蹤程式碼的變更歷史。開發者可以建立分支進行開發、合併程式碼、回溯到之前的版本等。Git 是開源專案和團隊協作的重要工具，GitHub、GitLab 等平台都是基於 Git 的程式碼託管服務。,開發工具
什麼是雲端運算？,雲端運算是透過網際網路提供運算資源和服務的模式，包括伺服器、儲存、資料庫、網路、軟體等。主要服務模型有 IaaS（基礎設施即服務）、PaaS（平台即服務）、SaaS（軟體即服務）。主要雲端服務提供商包括 AWS、Azure、Google Cloud 等。,雲端技術
資料庫有哪些類型？,"資料庫主要分為兩大類：
1. 關聯式資料庫（SQL）：如 MySQL、PostgreSQL、SQL Server，使用表格結構和 SQL 查詢語言
2. NoSQL 資料庫：如 MongoDB（文件型）、Redis（鍵值型）、Neo4j（圖形型）、Cassandra（列族型）
選擇取決於資料結構、查詢需求、擴展性等因素。",資料科學
什麼是 Docker？,Docker 是一個開源的容器化平台，可以將應用程式及其依賴打包成輕量級、可移植的容器。容器包含應用程式運行所需的所有內容，確保在不同環境中都能一致運行。Docker 簡化了應用程式的部署、測試和維護流程。,開發工具
敏捷開發是什麼？,敏捷開發（Agile）是一種軟體開發方法論，強調快速迭代、持續交付、團隊協作和客戶反饋。常見的敏捷框架包括 Scrum、Kanban 等。敏捷開發將大型專案拆分為小的衝刺（Sprint），每個衝刺產出可用的功能增量。,專案管理
